event_id,start_time,end_time,duration_hours,mean_spread,max_spread,min_spread,direction,magnitude_avg,magnitude_max,month,year,hour
301,2022-06-12 05:00:00,2022-06-12 06:00:00,2,-42.74000000000001,47.55000000000001,37.93000000000001,FR > DE,42.74000000000001,47.55000000000001,6,2022,5
303,2022-06-12 08:00:00,2022-06-12 08:00:00,1,-31.680000000000007,31.680000000000007,31.680000000000007,FR > DE,31.680000000000007,31.680000000000007,6,2022,8
305,2022-06-12 11:00:00,2022-06-12 15:00:00,5,-87.94399999999999,125.53,50.68000000000001,FR > DE,87.94399999999999,125.53,6,2022,11
307,2022-06-12 17:00:00,2022-06-12 17:00:00,1,-61.17,61.17,61.17,FR > DE,61.17,61.17,6,2022,17
309,2022-06-13 09:00:00,2022-06-13 19:00:00,11,-72.63363636363637,121.24,30.19,FR > DE,72.63363636363637,121.24,6,2022,9
311,2022-06-14 00:00:00,2022-06-14 00:00:00,1,-28.00999999999999,28.00999999999999,28.00999999999999,FR > DE,28.00999999999999,28.00999999999999,6,2022,0
313,2022-06-14 09:00:00,2022-06-14 16:00:00,8,-43.14375,57.35,30.25999999999999,FR > DE,43.14375,57.35,6,2022,9
315,2022-06-15 09:00:00,2022-06-15 16:00:00,8,-60.2675,74.63,49.1,FR > DE,60.2675,74.63,6,2022,9
317,2022-06-16 08:00:00,2022-06-16 21:00:00,14,-109.02071428571428,193.28,40.90999999999997,FR > DE,109.02071428571428,193.28,6,2022,8
319,2022-06-17 01:00:00,2022-06-17 02:00:00,2,-35.50499999999998,37.74999999999997,33.25999999999999,FR > DE,35.50499999999998,37.74999999999997,6,2022,1
321,2022-06-17 10:00:00,2022-06-17 19:00:00,10,-92.076,137.82,35.74000000000001,FR > DE,92.076,137.82,6,2022,10
323,2022-06-17 22:00:00,2022-06-18 17:00:00,20,-109.05650000000003,166.72,74.94999999999999,FR > DE,109.05650000000003,166.72,6,2022,22
325,2022-06-19 12:00:00,2022-06-19 15:00:00,4,-38.7725,51.17999999999999,28.77,FR > DE,38.7725,51.17999999999999,6,2022,12
327,2022-06-20 08:00:00,2022-06-20 08:00:00,1,70.81,70.81,70.81,DE > FR,70.81,70.81,6,2022,8
329,2022-06-20 11:00:00,2022-06-20 19:00:00,9,-96.07777777777778,148.1,32.75999999999999,FR > DE,96.07777777777778,148.1,6,2022,11
331,2022-06-21 08:00:00,2022-06-21 17:00:00,10,-148.179,207.94,36.02000000000004,FR > DE,148.179,207.94,6,2022,8
333,2022-06-22 00:00:00,2022-06-22 00:00:00,1,-27.55000000000001,27.55000000000001,27.55000000000001,FR > DE,27.55000000000001,27.55000000000001,6,2022,0
335,2022-06-22 08:00:00,2022-06-22 17:00:00,10,-133.74399999999997,195.62,74.33999999999997,FR > DE,133.74399999999997,195.62,6,2022,8
337,2022-06-22 19:00:00,2022-06-22 19:00:00,1,40.94,40.94,40.94,DE > FR,40.94,40.94,6,2022,19
339,2022-06-23 01:00:00,2022-06-23 02:00:00,2,-29.57499999999999,30.789999999999964,28.360000000000014,FR > DE,29.57499999999999,30.789999999999964,6,2022,1
341,2022-06-23 08:00:00,2022-06-23 17:00:00,10,-97.00800000000001,148.07999999999998,30.180000000000007,FR > DE,97.00800000000001,148.07999999999998,6,2022,8
343,2022-06-23 22:00:00,2022-06-24 02:00:00,5,-94.53999999999999,113.15999999999995,66.98999999999998,FR > DE,94.53999999999999,113.15999999999995,6,2022,22
345,2022-06-24 04:00:00,2022-06-24 04:00:00,1,-27.72,27.72,27.72,FR > DE,27.72,27.72,6,2022,4
347,2022-06-24 10:00:00,2022-06-24 14:00:00,5,-64.10999999999999,77.82,34.870000000000005,FR > DE,64.10999999999999,77.82,6,2022,10
349,2022-06-25 10:00:00,2022-06-25 16:00:00,7,-59.58571428571428,93.01,34.05000000000001,FR > DE,59.58571428571428,93.01,6,2022,10
351,2022-06-26 08:00:00,2022-06-26 15:00:00,8,-128.41,183.48,49.079999999999984,FR > DE,128.41,183.48,6,2022,8
353,2022-06-26 17:00:00,2022-06-26 17:00:00,1,-29.120000000000005,29.120000000000005,29.120000000000005,FR > DE,29.120000000000005,29.120000000000005,6,2022,17
