"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"11/01/2023 00:00:00 - 11/01/2023 01:00:00","BZN|FR","Without Sequence","7.41","",""
"11/01/2023 01:00:00 - 11/01/2023 02:00:00","BZN|FR","Without Sequence","0.89","",""
"11/01/2023 02:00:00 - 11/01/2023 03:00:00","BZN|FR","Without Sequence","1.15","",""
"11/01/2023 03:00:00 - 11/01/2023 04:00:00","BZN|FR","Without Sequence","0.08","",""
"11/01/2023 04:00:00 - 11/01/2023 05:00:00","BZN|FR","Without Sequence","0.08","",""
"11/01/2023 05:00:00 - 11/01/2023 06:00:00","BZN|FR","Without Sequence","5.53","",""
"11/01/2023 06:00:00 - 11/01/2023 07:00:00","BZN|FR","Without Sequence","64.37","",""
"11/01/2023 07:00:00 - 11/01/2023 08:00:00","BZN|FR","Without Sequence","99.99","",""
"11/01/2023 08:00:00 - 11/01/2023 09:00:00","BZN|FR","Without Sequence","142.35","",""
"11/01/2023 09:00:00 - 11/01/2023 10:00:00","BZN|FR","Without Sequence","145.72","",""
"11/01/2023 10:00:00 - 11/01/2023 11:00:00","BZN|FR","Without Sequence","135.46","",""
"11/01/2023 11:00:00 - 11/01/2023 12:00:00","BZN|FR","Without Sequence","132.59","",""
"11/01/2023 12:00:00 - 11/01/2023 13:00:00","BZN|FR","Without Sequence","121.71","",""
"11/01/2023 13:00:00 - 11/01/2023 14:00:00","BZN|FR","Without Sequence","111.17","",""
"11/01/2023 14:00:00 - 11/01/2023 15:00:00","BZN|FR","Without Sequence","116.81","",""
"11/01/2023 15:00:00 - 11/01/2023 16:00:00","BZN|FR","Without Sequence","118.92","",""
"11/01/2023 16:00:00 - 11/01/2023 17:00:00","BZN|FR","Without Sequence","122.49","",""
"11/01/2023 17:00:00 - 11/01/2023 18:00:00","BZN|FR","Without Sequence","135.19","",""
"11/01/2023 18:00:00 - 11/01/2023 19:00:00","BZN|FR","Without Sequence","134.95","",""
"11/01/2023 19:00:00 - 11/01/2023 20:00:00","BZN|FR","Without Sequence","131.96","",""
"11/01/2023 20:00:00 - 11/01/2023 21:00:00","BZN|FR","Without Sequence","119.26","",""
"11/01/2023 21:00:00 - 11/01/2023 22:00:00","BZN|FR","Without Sequence","96.53","",""
"11/01/2023 22:00:00 - 11/01/2023 23:00:00","BZN|FR","Without Sequence","94.22","",""
"11/01/2023 23:00:00 - 12/01/2023 00:00:00","BZN|FR","Without Sequence","94.22","",""
"12/01/2023 00:00:00 - 12/01/2023 01:00:00","BZN|FR","Without Sequence","37.79","",""
"12/01/2023 01:00:00 - 12/01/2023 02:00:00","BZN|FR","Without Sequence","13.19","",""
